title,year,genres,cast,synopsis
Captain America: Civil War,2016.0,"['Adventure', 'Action', 'Science Fiction']",,"Steve Rogers est désormais à la tête des Avengers, dont la mission est de protéger l'humanité. À la suite d'une de leurs interventions qui a causé d'importants dégâts collatéraux, le gouvernement décide de mettre en place un organisme de commandement et de supervision. Cette nouvelle donne provoque une scission au sein de l'équipe : Steve Rogers reste attaché à sa liberté de s'engager sans ingérence gouvernementale, tandis que d'autres se rangent derrière Tony Stark, qui contre toute attente, dé"
Battleship,2012.0,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",,"Océan Pacifique. Au large d'Hawaï, l'US Navy déploie toute sa puissance. Mais bientôt, une forme étrange et menaçante émerge à la surface des eaux, suivie par des dizaines d'autres, dotées d'une puissance de destruction inimaginable. Qui sont-ils ? Que faisaient-ils, cachés depuis si longtemps au fond de l'océan ? À bord de l'USS John Paul Jones, le jeune officier Hopper, l'amiral Shane et le sous-officier Raikes vont découvrir que l'océan n'est pas toujours aussi pacifique qu'il paraît. La"
Jurassic World,2015.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",,"Après le décès de son fondateur John Hammond, la société de biotechnologie InGen a été rachetée par Simon Masrani, PDG de la Masrani Global Corporation. Deux décennies après les événements tragiques de 1993, un nouveau parc a ouvert ses portes sur Isla Nublar, au large du Costa Rica. C'est plus de vingt mille visiteurs qui débarquent chaque jour à « Jurassic World », le « plus grand parc à thèmes jamais construit dans l'histoire humaine » pour profiter pleinement du cadre idyllique de l'île et d"
Skyfall,2012.0,"['Action', 'Adventure', 'Thriller']",,"Lorsque la dernière mission de Bond tourne mal, plusieurs agents infiltrés se retrouvent exposés dans le monde entier. Le MI6 est attaqué, et M est obligée de relocaliser l'Agence. Ces événements ébranlent son autorité, et elle est remise en cause par Mallory, le nouveau président de l'ISC, le comité chargé du renseignement et de la sécurité. Le MI6 est à présent sous le coup d'une double menace, intérieure et extérieure. Il ne reste à M qu'un seul allié de confiance vers qui se tourner : Bond. P"
Spider-Man 2,2004.0,"['Action', 'Adventure', 'Fantasy']",,"2 ans après avoir choisi sa vie de super-héros, Peter Parker ne parvient plus à gérer sa double vie. Il perd son boulot, Mary-Jane sait qu'elle ne peut plus compter sur lui, et ses études prennent le même chemin. Il décide de raccrocher le costume de Spiderman. Son ami Harry lui présente un ami de son professeur de science, le bienveillant docteur Otto Octavius sur lequel il doit rédiger un mémoire. Celui-ci travaille sur la fusion qu'il croit pouvoir contrôler. Mais une démonstration de ses rec"
Iron Man 3,2013.0,"['Action', 'Adventure', 'Science Fiction']",,"Tony Stark, l'industriel flamboyant qui est aussi Iron Man, est confronté cette fois à un ennemi qui va attaquer sur tous les fronts. Lorsque son univers personnel est détruit, Stark se lance dans une quête acharnée pour retrouver les coupables. Plus que jamais, son courage va être mis à l'épreuve, à chaque instant. Dos au mur, il ne peut plus compter que sur ses inventions, son ingéniosité, et son instinct pour protéger ses proches. Alors qu'il se jette dans la bataille, Stark va enfin découvrir"
Alice in Wonderland,2010.0,"['Family', 'Fantasy', 'Adventure']",,"Alice, désormais âgée de 19 ans, retourne dans le monde fantastique qu'elle a découvert quand elle était enfant. Elle y retrouve ses amis le Lapin Blanc, Bonnet Blanc et Blanc Bonnet, le Loir, la Chenille, le Chat du Cheshire et, bien entendu, le Chapelier Fou. Alice s'embarque alors dans une aventure extraordinaire où elle accomplira son destin : mettre fin au règne de terreur de la Reine Rouge."
X-Men: The Last Stand,2006.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",,"Dans le chapitre final de la trilogie X-Men, les mutants affrontent un choix historique et leur plus grand combat… Un ""traitement"" leur permet désormais d'échapper à ce qu'ils sont. Pour la première fois, ils ont le choix : conserver ce qui fait leur caractère unique mais leur vaut la défiance et la méfiance de l'humanité, ou bien abandonner leurs pouvoirs et devenir des humains à part entière. Les points de vue opposés des leaders des mutants, Charles Xavier, qui prêche la tolérance, et Magneto, qui croit à la survie des plus adaptés, sont plus que jamais incompatibles et vont déclencher la plus acharnée des batailles."
Monsters University,2013.0,"['Animation', 'Family']",,"Même quand il n’était qu’un tout petit monstre, Bob Razowski rêvait déjà de devenir une Terreur. Aujourd’hui, il est enfin en première année à la prestigieuse université Monstres Academy, où sont formées les meilleures Terreurs. Son plan de carrière bien préparé est pourtant menacé par sa rencontre avec James P. Sullivan, dit Sulli, un vrai crack qui a un don naturel pour Terrifier. Aveuglés par leur désir de se prouver l’un à l’autre qu’ils sont imbattables, tous deux finissent par se faire renvoyer de l’université. Pire encore : ils se rendent compte que s’ils veulent que les choses aient une chance de rentrer dans l’ordre, ils vont devoir travailler ensemble, et avec un petit groupe de monstres bizarres et mal assortis…"
Transformers: Revenge of the Fallen,2009.0,"['Science Fiction', 'Action', 'Adventure']",,"Si Sam a fait ce qu'il a pu pour tirer un trait sur le conflit qui a eu lieu à Mission City et revenir à ses préoccupations quotidiennes, la guerre entre les Autobots et les Decepticons, tout en étant classée secret défense, a entraîné plusieurs changements. Le secteur 7 a ainsi été dissout et son plus fidèle soldat, l'agent Simmons, a été révoqué sans ménagement. Résultat : une nouvelle agence, NEST, a été mise en place..."
Transformers: Age of Extinction,2014.0,"['Science Fiction', 'Action', 'Adventure']",,"Alors que l’humanité panse ses plaies, après les événements de Transformers : La Face cachée de la Lune, les Autobots et les Decepticons ont disparu de la surface de la Terre. Mais un groupe formé de financiers et scientifiques puissants et ingénieux étudient les invasions successives des Transformers, afin de repousser les limites de la technologie au‐delà de ce qu’ils peuvent contrôler. Et pendant ce temps, une menace Transformer ancienne et puissante prend la Terre pour cible."
Oz: The Great and Powerful,2013.0,"['Fantasy', 'Adventure', 'Family']",,"Lorsque Oscar Diggs, un petit magicien de cirque sans envergure à la moralité douteuse, est emporté à bord de sa montgolfière depuis le Kansas poussiéreux jusqu’à l’extravagant Pays d’Oz, il y voit la chance de sa vie. Tout semble tellement possible dans cet endroit stupéfiant composé de paysages luxuriants, de peuples étonnants et de créatures singulières ! Même la fortune et la gloire ! Celles-ci semblent d’autant plus simples à acquérir qu’il peut facilement se faire passer pour le grand magicien dont tout le monde espère la venue. Seules trois sorcières, Theodora, Evanora et Glinda semblent réellement douter de ses compétences…  Grâce à ses talents d’illusionniste, à son ingéniosité et à une touche de sorcellerie, Oscar va très vite se retrouver impliqué malgré lui dans les problèmes qu’affrontent Oz et ses habitants. Qui sait désormais si un destin hors du commun ne l’attend pas au bout de la route ?"
The Amazing Spider-Man 2,2014.0,"['Action', 'Adventure', 'Fantasy']",,"Peter Parker a une vie très occupée partagée entre son combat contre les vilains et la personne qu’il aime, Gwen. Il attend donc son diplôme de fin de lycée avec impatience. Peter n’a pas oublié la promesse qu’il a faite au père de Gwen : la protéger en restant hors de son existence. Une promesse qu’il ne peut pas tenir. Les choses vont changer pour Peter quand un nouveau vilain fait son apparition, Electro, quand un vieil ami fait son retour, Harry Osborn, et quand Peter découvre de nouveaux indices sur son passé."
TRON: Legacy,2010.0,"['Adventure', 'Action', 'Science Fiction']",,"Sam Flynn, 27 ans, est le fils expert en technologie de Kevin Flynn. Cherchant à percer le mystère de la disparition de son père, il se retrouve aspiré dans ce même monde de programmes redoutables et de jeux mortels où vit son père depuis 25 ans. Avec la fidèle confidente de Kevin, père et fils s'engagent dans un voyage où la mort guette, à travers un cyber univers époustouflant visuellement, devenu plus avancé technologiquement et plus dangereux que jamais..."
Cars 2,2011.0,"['Animation', 'Family', 'Adventure', 'Comedy']",,"La célèbre voiture de course Flash McQueen et l'incomparable dépanneuse Martin quittent Radiator Springs pour courir le tout premier Grand Prix mondial qui sacrera la voiture la plus rapide du monde. Mais la route est pleine d'imprévus, de déviations et de surprises, surtout lorsque Martin se retrouve entraîné dans une affaire d'espionnage international !"
Green Lantern,2011.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",,"Dans un univers aussi vaste que mystérieux, une force aussi petite que puissante est en place depuis des siècles : des protecteurs de la paix et de la justice appelés Green Lantern Corps, une confrérie de guerriers qui a juré de maintenir l’ordre intergalactique, et dont chaque membre porte un anneau lui conférant des super-pouvoirs. Mais quand un ennemi du nom de Parallax menace de rompre l’équilibre entre les forces de l’univers, leur destin et celui de la Terre repose sur leur dernière recrue, le premier humain jamais choisi : Hal Jordan.Les Green Lanterns ont un peu de respect pour les humains, qui n’ont jamais exploité les pouvoirs infinis de l’anneau auparavant. Mais Hal possède, une chose qu’aucun des autres membres n’a jamais eu : son humanité. Soutenu par son amour d’enfance, Hal doit rapidement maîtriser ses nouveaux pouvoirs et vaincre ses peur, pour prouver qu’il n’est pas que la clé pour vaincre Parallax… mais peut-être le plus grand Green Lantern de tous les temps."
Toy Story 3,2010.0,"['Animation', 'Family', 'Comedy']",,"Woody, Buzz l’Éclair et le reste des jouets reviennent dans une toute nouvelle aventure avec quelques nouveaux visages dont Ken et Barbie, le hérisson La Brosse et l’ours Lotso. Andy se prépare à partir pour l’université et Woody, Buzz, Jessie et les autres jouets se demandent ce qu’ils vont devenir. Quand ils arrivent à Sunnyside, c’est le début d’une nouvelle aventure."
Terminator Salvation,2009.0,"['Action', 'Science Fiction', 'Thriller']",,"En 2018, après l'apocalypse qui a vu s'affronter les hommes et les robots, John Connor est devenu le chef de la résistance humaine contre Skynet et son armée de Terminators. Sa vision du monde est pourtant remise en cause par l'apparition de Marcus Wright, un inconnu qui se souvient seulement de s'être trouvé dans le quartier des condamnés à mort. Connor doit découvrir si Marcus a été envoyé du futur ou s'il est un rescapé du passé. Alors que Skynet prépare l'assaut final, Connor et Marcus s'engagent dans une odyssée qui va les mener au cœur même des opérations de Skynet. Ils y perceront le terrible secret qui se cache derrière l'annihilation programmée de l'humanité tout entière…"
Furious 7,2015.0,['Action'],,"Laissé à moitié mort par Dominic Toretto et son clan de voleur de voitures as du volant, le criminel Owen Shaw gît sur un lit d'hôpital à Londres. Déterminé à le venger, son frère Deckard Shaw commet des attaques vicieuses contre les membres de la famille de Toretto, notamment contre sa sœur, son beau-frère et leur petit garçon. Une aide inespérée leur parvient en la personne de Frank Petty, agent des services secrets américains aux ressources impressionnantes. Il promet assistance à Dominic, en échange de quoi ce dernier devra libérer une talentueuse informaticienne, nommée Ramsey, qui a mis au point un logiciel de surveillance ultraperfectionné baptisé « God's Eye ». La jeune femme est en effet retenue prisonnière par Jakande, un dangereux terroriste, au milieu des inaccessibles montagnes de l'Azerbaïdjan. Le clan de Dominic se reforme donc pour cette dangereuse mission."
World War Z,2013.0,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",,"Gerry Lane se lance dans une course contre la montre pour aider le monde à surmonter ses divisions et faire face à l'apocalypse. Dans tous les pays, par tous les moyens, chacun devra se battre car l'humanité n'aura plus qu'un seul espoir de survie : La guerre."
X-Men: Days of Future Past,2014.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,"Dans un futur proche, les mutants et les humains ont été décimés par les Sentinelles, des robots biologiques capables de copier les pouvoirs des mutants. Seuls quelques mutants, dont Kitty Pride, Iceman, Storm et Bishop, résistent encore. Le Professeur X et Magneto décident d’envoyer Logan dans le passé afin d’empêcher le meurtre de Bolivar Trask, un scientifique américain responsable du programme d’armement dont la mort déclenchera le programme des Sentinelles. Wolverine arrive donc en 1973 afin de convaincre Charles Xavier et Erik Lehnsherr de stopper Mystique dans sa mission, une tâche qu’ils devront accomplir avec l’aide de Beast et de Quicksilver."
Star Trek Into Darkness,2013.0,"['Action', 'Adventure', 'Science Fiction']",,"Alors qu'il rentre à sa base, l'équipage de l'Enterprise doit faire face à des forces terroristes implacables au sein même de son organisation. L'ennemi a fait exploser la flotte et tout ce qu'elle représentait, plongeant notre monde dans le chaos."
Jack the Giant Slayer,2013.0,"['Action', 'Family', 'Fantasy']",,"Un jeune ouvrier agricole du nom de Jack ouvre involontairement un passage entre notre monde et celui d’une terrifiante race de géants. Débarquant sur la Terre pour la première fois depuis des siècles et des siècles, les géants n’ont qu’un objectif : reprendre le territoire qu’ils ont jadis perdu. Jack doit tout mettre en œuvre pour les arrêter. Il va devenir malgré lui un guerrier valeureux. Le salut de l’humanité repose sur ses épaules…"
The Great Gatsby,2013.0,"['Drama', 'Romance']",,"Printemps 1922. L'époque est propice au relâchement des mœurs, à l'essor du jazz et à l’enrichissement des contrebandiers d’alcool… Apprenti écrivain, Nick Carraway quitte la région du Middle‐West pour s'installer à New York. Voulant sa part du rêve américain, il vit désormais entouré d'un mystérieux millionnaire, Jay Gatsby, qui s'étourdit en fêtes mondaines, et de sa cousine Daisy et de son mari volage, Tom Buchanan, issu de sang noble. C’est ainsi que Nick se retrouve au cœur du monde fascinant des milliardaires, de leurs illusions, de leurs amours et de leurs mensonges. Témoin privilégié de son temps, il se met à écrire une histoire où se mêlent des amours impossibles, des rêves d’absolu et des tragédies ravageuses et, chemin faisant, nous tend un miroir où se reflètent notre époque moderne et ses combats."
Prince of Persia: The Sands of Time,2010.0,"['Adventure', 'Fantasy', 'Action', 'Romance']",,"Un prince rebelle est contraint d'unir ses forces avec une mystérieuse princesse pour affronter ensemble les forces du mal et protéger une dague antique capable de libérer les Sables du temps, un don de dieu qui peut inverser le cours du temps et permettre à son possesseur de régner en maître absolu sur le monde."
Pacific Rim,2013.0,"['Action', 'Science Fiction', 'Adventure']",,"Surgies des flots, des hordes de créatures monstrueuses, les ""Kaiju"", ont déclenché une guerre qui a fait des millions de victimes et épuisé les ressources naturelles de l'humanité pendant des années. Pour les combattre, une arme d'un genre nouveau a été mise au point : de gigantesques robots, les ""Jaegers"", contrôlés simultanément par deux pilotes qui communiquent par télépathie. Mais même les Jaegers semblent impuissants face aux redoutables Kaiju. Alors que la défaite paraît inéluctable, les forces armées qui protègent l'humanité n'ont d'autre choix que d'avoir recours à deux héros hors normes : un ancien pilote au bout du rouleau et une jeune femme en cours d'entraînement qui font équipe pour manœuvrer un Jaeger légendaire, quoique d'apparence obsolète. Ensemble, ils incarnent désormais le dernier rempart de l'humanité contre une apocalypse de plus en plus imminente…"
Transformers: Dark of the Moon,2011.0,"['Action', 'Science Fiction', 'Adventure']",,"Les Autobots Bumblebee, Ironhide, Ratchet et Sideswipe menés par Optimus Prime sont de retour en action, toujours contre les maléfiques Decepticons, bien décidés à se venger de leur défaite. Dans ce nouvel opus, Autobots et Decepticons s'avèrent avoir été impliqués dans la course à l'espace que s'étaient lancés les États-Unis et l'URSS. Une course qui va remonter jusqu'à Sam Witwicky, qui aura à nouveau besoin de l'aide de ses amis robots. De nouveaux Transformers rejoignent la bataille dont l'ancien Decepticons Shockwave, devenu dictateur sur la planète Cybertron alors que les Autobots et les Decepticons poursuivent leur guerre sur Terre."
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,"['Adventure', 'Action']",,"La nouvelle aventure d’Indiana Jones débute dans un désert du sud‐ouest des États‐Unis. Nous sommes en 1957, en pleine guerre froide. Indy et son copain Mac viennent tout juste d’échapper à une bande d’agents soviétiques à la recherche d’une mystérieuse relique surgie du fond des temps. De retour au Marshall College, le Professeur Jones apprend une très mauvaise nouvelle : ses récentes activités l’ont rendu suspect aux yeux du gouvernement américain. Le doyen Stanforth, qui est aussi un proche ami, se voit contraint de le licencier. À la sortie de la ville, Indiana fait la connaissance d’un jeune motard rebelle, Mutt, qui lui fait une proposition inattendue."
The Good Dinosaur,2015.0,"['Adventure', 'Animation', 'Family']",,"Dans le voyage épique de Disney•Pixar chez les dinosaures, un apatosaure nommé Arlo est emporté par une rivière torrentielle et se retrouve à une centaine de kilomètres de chez lui. Tandis qu’il parcourt un paysage hostile et mystérieux, Arlo se lie d’amitié avec un humain et gagne la force de confronter ses peurs."
Brave,2012.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",,"Mérida est une archère talentueuse et la fille têtue du roi Fergus et de la reine Elinor. Déterminée à suivre son propre chemin, la jeune princesse défie une ancienne coutume chère aux seigneurs des terres. Lorsqu’elle déclenche le chaos au royaume, Mérida doit faire appel à tous ses talents et ressources (y compris ses frères triplets) pour rompre un horrible sort et découvrir le vrai sens de la bravoure."
Star Trek Beyond,2016.0,"['Action', 'Adventure', 'Science Fiction']",,"L'équipage de l'USS Enterprise explore les confins de l'espace inconnu où ils rencontrent un nouvel ennemi impitoyable qui les met à l'épreuve, ainsi que tout ce que la Fédération représente."
